X,Number,Fastq_NR,Sequence_file_name,short_name_uparse,short_name_ngs,short,species,indval,Place,genus,spec_place,substrate,dataset,couples,couplesRW,sppl,rot_crus,Taxa,env_cult,ani_cult,NR,R1_R2,name,uni
X68,82,68,ID792-60_S73_L001_R1_001.fastq,68_R1.fastq,W_A985,W_A985_X68,water,NA,A985,,waterA985,water,rot,A985water,A985Keratella quadrata,waterA985,water,,env,water_env,121,R1.fastq,W_A985_121,water_X68
X69,83,69,ID792-61_S74_L001_R1_001.fastq,69_R1.fastq,W_A986,W_A986_X69,water,NA,A986,,waterA986,water,extra,A986water,A986nauplia copepod,waterA986,water,,env,water_env,123,R1.fastq,W_A986_123,water_X69
X7,84,7,ID435-2_S11_L001_R1_001.fastq,2_11,W_LIH_C2,W_LIH_C2X7,water,NA,L001,,waterLIH,water,rot,L001water,LIH,waterL001,water,,cult,water_cult,45,R1.fastq,W_LIH_C2_45,water_X7
X70,85,70,ID792-66_S75_L001_R1_001.fastq,70_R1.fastq,W_A992,W_A992_X70,water,NA,A992,,waterA992,water,rot,A992water,A992Simo,waterA992,water,,env,water_env,125,R1.fastq,W_A992_125,water_X70
X71,86,71,ID792-A05-33-A985-K1_S3_L001_R1_001.fastq,71_R1.fastq,A985-K1,A985-K1_X71,Keratella quadrata,Keratella,A985,Keratella,Keratella quadrataA985,animal,rot,A985Keratella quadrata,A985Keratella quadrata,Keratella quadrataA985,rotifer,mono,env,rotifer_env,133,R1.fastq,A985-K1_133,Keratella quadrata_X71
X72,87,72,ID792-A06-41-A990-KA_S4_L001_R1_001.fastq,72_R1.fastq,A990-KA,A990-KA_X72,Keratella,Keratella,A990,Keratella,KeratellaA990,animal,rot,A990Keratella,A990Keratella,KeratellaA990,rotifer,mono,env,rotifer_env,135,R1.fastq,A990-KA_135,Keratella_X72
X74,89,74,ID792-A07-49-A993-CB_S5_L001_R1_001.fastq,74_R1.fastq,A993-CB,A993-CB_X74,large calanoid copepod,Copepod,A993,,large calanoid copepodA993,animal,extra,A993large calanoid copepod,A993large calanoid copepod,large calanoid copepodA993,crustacean,cop,env,crustacean_env,139,R1.fastq,A993-CB_139,large calanoid copepod_X74
X75,90,75,ID792-A09-65-W-A991_S6_L001_R1_001.fastq,75_R1.fastq,A991-A991,A991-A991_X75,water,NA,A991,,waterA991,water,extra,A991water,A991Euchlanis,waterA991,water,,env,water_env,141,R1.fastq,A991-A991_141,water_X75
X77,92,77,ID792-B05-34-A985-K2_S16_L001_R1_001.fastq,77_R1.fastq,A985-K2,A985-K2_X77,Keratella quadrata,Keratella,A985,Keratella,Keratella quadrataA985,animal,rot,A985Keratella quadrata,A985Keratella quadrata,Keratella quadrataA985,rotifer,mono,env,rotifer_env,145,R1.fastq,A985-K2_145,Keratella quadrata_X77
X78,93,78,ID792-B06-42-A990-KB_S11_L001_R1_001.fastq,78_R1.fastq,A990-KB,A990-KB_X78,Keratella,Keratella,A990,Keratella,KeratellaA990,animal,rot,A990Keratella,A990Keratella,KeratellaA990,rotifer,mono,env,rotifer_env,147,R1.fastq,A990-KB_147,Keratella_X78
X79,94,79,ID792-B07-50-A994-SA_S12_L001_R1_001.fastq,79_R1.fastq,A994-SA,A994-SA_X79,Simo,Simo,A994,Simocephalus,Simocephalus A994,animal,extra,A994Simo,A994Simo,Simocephalus A994,crustacean,dap,env,crustacean_env,149,R1.fastq,A994-SA_149,Simocephalus _X79
X8,95,8,ID435-2_S26_L001_R1_001.fastq,2_26,W_LIH_C2,W_LIH_C2X8,water,NA,L001,,waterLIH,water,rot,L001water,LIH,waterL001,water,,cult,water_cult,47,R1.fastq,W_LIH_C2_47,water_X8
X80,96,80,ID792-B09-66-W-A992_S13_L001_R1_001.fastq,80_R1.fastq,A992-A992,A992-A992_X80,water,NA,A992,,waterA992,water,rot,A992water,A992Simo,waterA992,water,,env,water_env,151,R1.fastq,A992-A992_151,water_X80
X81,97,81,ID792-C04-27-A984-C1_S17_L001_R1_001.fastq,81_R1.fastq,A984-C1,A984-C1_X81,Copepod,Copepod,A984,,CopepodA984,animal,extra,A984Copepod,A984Copepod,CopepodA984,crustacean,cop,env,crustacean_env,153,R1.fastq,A984-C1_153,Copepod_X81
X82,98,82,ID792-C05-35-A986-1_S17_L001_R1_001.fastq,82_R1.fastq,A986-1,A986-1_X82,nauplia copepod,NA,A986,,nauplia copepodA986,animal,extra,A986nauplia copepod,A986nauplia copepod,nauplia copepodA986,crustacean,cop,env,crustacean_env,155,R1.fastq,A986-1_155,nauplia copepod_X82
X83,99,83,ID792-C05-35-A986-1_S18_L001_R1_001.fastq,83_R1.fastq,A986-1,A986-1_X83,nauplia copepod,NA,A986,,nauplia copepodA986,animal,extra,A986nauplia copepod,A986nauplia copepod,nauplia copepodA986,crustacean,cop,env,crustacean_env,157,R1.fastq,A986-1_157,nauplia copepod_X83
X84,100,84,ID792-C06-43-A991-E_S18_L001_R1_001.fastq,84_R1.fastq,A991-E,A991-E_X84,Euchlanis,NA,A991,,EuchlanisA991,animal,rot,A991Euchlanis,A991Euchlanis,EuchlanisA991,rotifer,mono,env,rotifer_env,159,R1.fastq,A991-E_159,Euchlanis_X84
X85,101,85,ID792-C06-43-A991-E_S19_L001_R1_001.fastq,85_R1.fastq,A991-E,A991-E_X85,Euchlanis,NA,A991,,EuchlanisA991,animal,rot,A991Euchlanis,A991Euchlanis,EuchlanisA991,rotifer,mono,env,rotifer_env,161,R1.fastq,A991-E_161,Euchlanis_X85
X87,103,87,ID792-C07-51-A994-SB_S20_L001_R1_001.fastq,87_R1.fastq,A994-SB,A994-SB_X87,Simo,Simo,A994,Simocephalus,Simocephalus A994,animal,extra,A994Simo,A994Simo,Simocephalus A994,crustacean,sim,env,crustacean_env,163,R1.fastq,A994-SB_163,Simocephalus _X87
X88,104,88,ID792-C09-67-W-A993_S21_L001_R1_001.fastq,88_R1.fastq,A993-A993,A993-A993_X88,water,NA,A993,,waterA993,water,extra,A993water,A993large calanoid copepod,waterA993,water,,env,water_env,167,R1.fastq,A993-A993_167,water_X88
X89,105,89,ID792-D04-28-A984-C2_S25_L001_R1_001.fastq,89_R1.fastq,A984-C2,A984-C2_X89,Copepod,Copepod,A984,,CopepodA984,animal,extra,A984Copepod,A984Copepod,CopepodA984,crustacean,cop,env,crustacean_env,169,R1.fastq,A984-C2_169,Copepod_X89
X9,106,9,ID435-2_S38_L001_R1_001.fastq,2_38,W_LIH_C2,W_LIH_C2X9,water,NA,L001,,waterLIH,water,rot,L001water,LIH,waterL001,water,,cult,water_cult,49,R1.fastq,W_LIH_C2_49,water_X9
X90,107,90,ID792-D07-52-A994-RRA_S11_L001_R1_001.fastq,90_R1.fastq,A994-RRA,A994-RRA_X90,Rotaria rotatoria,NA,A994,Rotaria,Rotaria rotatoriaA994,animal,rot,A994Rotaria rotatoria,A994Rotaria rotatoria,Rotaria rotatoriaA994,rotifer,bdell,env,rotifer_env,171,R1.fastq,A994-RRA_171,Rotaria rotatoria_X90
X91,108,91,ID792-D07-52-A994-RRA_S26_L001_R1_001.fastq,91_R1.fastq,A994-RRA,A994-RRA_X91,Rotaria rotatoria,NA,A994,Rotaria,Rotaria rotatoriaA994,animal,rot,A994Rotaria rotatoria,A994Rotaria rotatoria,Rotaria rotatoriaA994,rotifer,bdell,env,rotifer_env,173,R1.fastq,A994-RRA_173,Rotaria rotatoria_X91
X92,109,92,ID792-D09-68-W-A994_S27_L001_R1_001.fastq,92_R1.fastq,A994-A994,A994-A994_X92,water,NA,A994,,waterA994,water,rot,A994water,A994Rotaria rotatoria,waterA994,water,,env,water_env,175,R1.fastq,A994-A994_175,water_X92
X93,110,93,ID792-F05-38-A988-BQ2_S19_L001_R1_001.fastq,93_R1.fastq,A988-BQ2,A988-BQ2_X93,Brachinonus quadridentatus,NA,A988,,Brachinonus quadridentatusA988,animal,rot,A988Brachinonus quadridentatus,A988Brachinonus quadridentatus,Brachinonus quadridentatusA988,rotifer,mono,env,rotifer_env,177,R1.fastq,A988-BQ2_177,Brachinonus quadridentatus_X93
X94,111,94,ID792-F05-38-A988-BQ2_S34_L001_R1_001.fastq,94_R1.fastq,A988-BQ2,A988-BQ2_X94,Brachinonus quadridentatus,NA,A988,,Brachinonus quadridentatusA988,animal,rot,A988Brachinonus quadridentatus,A988Brachinonus quadridentatus,Brachinonus quadridentatusA988,rotifer,mono,env,rotifer_env,179,R1.fastq,A988-BQ2_179,Brachinonus quadridentatus_X94
X96,113,96,ID792-F06-46-A992-SA_S35_L001_R1_001.fastq,96_R1.fastq,A992-SA,A992-SA_X96,SimoV,SimoV,A992,Simocephalus,SimocephalusA992,animal,extra,A992Simo,A992Simo,Simocephalus A992,crustacean,sim,env,crustacean_env,183,R1.fastq,A992-SA_183,Simocephalus _X96
X97,114,97,ID792-F08-62-W-A988_S12_L001_R1_001.fastq,97_R1.fastq,A988-A988,A988-A988_X97,water,NA,A988,,waterA988,water,rot,A988water,A988Brachinonus quadridentatus,waterA988,water,,env,water_env,185,R1.fastq,A988-A988_185,water_X97
X98,115,98,ID792-F08-62-W-A988_S36_L001_R1_001.fastq,98_R1.fastq,A988-A988,A988-A988_X98,water,NA,A988,,waterA988,water,rot,A988water,A988Brachinonus quadridentatus,waterA988,water,,env,water_env,187,R1.fastq,A988-A988_187,water_X98
X99,116,99,ID792-G04-31-A984-LE1_S40_L001_R1_001.fastq,99_R1.fastq,A984-LE1,A984-LE1_X99,Lecane elsa,NA,A984,,Lecane elsaA984,animal,rot,A984Lecane elsa,A984Lecane elsa,Lecane elsaA984,rotifer,mono,env,rotifer_env,189,R1.fastq,A984-LE1_189,Lecane elsa_X99
D3,117,D3,Daphnia obtus,,IRSA,IRSA_D3,Daphnia obtus,Daphnia sp.,IRSA,Daphnia,Daphnia obtusIRSA,animal,extra,IRSADaphnia obtus,,Daphnia obtusIRSA,crustacean,dap,env,crustacean_env,,,,Daphnia obtus_D3
D5,118,D5,Daphnia obtus,,IRSA,IRSA_D5,Daphnia obtus,Daphnia sp.,IRSA,Daphnia,Daphnia obtusIRSA,animal,extra,IRSADaphnia obtus,,Daphnia obtusIRSA,crustacean,dap,env,crustacean_env,,,,Daphnia obtus_D5
D6,119,D6,Daphnia obtus,,IRSA,IRSA_D6,Daphnia obtus,Daphnia sp.,IRSA,Daphnia,Daphnia obtusIRSA,animal,extra,IRSADaphnia obtus,,Daphnia obtusIRSA,crustacean,dap,env,crustacean_env,,,,Daphnia obtus_D6
ERS2473696,120,ERS2473696,Daphnia magna,d0,ebert,ebert_ERS2473696,Daphnia magna,Daphnia magna,ebert,Daphnia,Daphnia magnaebert,animal,extra,ebertDaphnia magna,,Daphnia magnaebert,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_ERS2473696
ERS2473697,121,ERS2473697,Daphnia magna,d0,ebert,ebert_ERS2473697,Daphnia magna,Daphnia magna,ebert,Daphnia,Daphnia magnaebert,animal,extra,ebertDaphnia magna,,Daphnia magnaebert,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_ERS2473697
ERS2473698,122,ERS2473698,Daphnia magna,,ebert,ebert_ERS2473698,Daphnia magna,Daphnia magna,ebert,Daphnia,Daphnia magnaebert,animal,extra,ebertDaphnia magna,,Daphnia magnaebert,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_ERS2473698
ERS2473704,123,ERS2473704,Daphnia magna,,ebert,ebert_ERS2473704,Daphnia magna,Daphnia magna,ebert,Daphnia,Daphnia magnaebert,animal,extra,ebertDaphnia magna,,Daphnia magnaebert,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_ERS2473704
ERS2473705,124,ERS2473705,Daphnia magna,,ebert,ebert_ERS2473705,Daphnia magna,Daphnia magna,ebert,Daphnia,Daphnia magnaebert,animal,extra,ebertDaphnia magna,,Daphnia magnaebert,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_ERS2473705
ERS2473706,125,ERS2473706,Daphnia magna,,ebert,ebert_ERS2473706,Daphnia magna,Daphnia magna,ebert,Daphnia,Daphnia magnaebert,animal,extra,ebertDaphnia magna,,Daphnia magnaebert,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_ERS2473706
ERS2473722,126,ERS2473722,Daphnia magna,,ebert,ebert_ERS2473722,Daphnia magna,Daphnia magna,ebert,Daphnia,Daphnia magnaebert,animal,extra,ebertDaphnia magna,,Daphnia magnaebert,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_ERS2473722
ERS2473723,127,ERS2473723,Daphnia magna,d9,ebert,ebert_ERS2473723,Daphnia magna,Daphnia magna,ebert,Daphnia,Daphnia magnaebert,animal,extra,ebertDaphnia magna,,Daphnia magnaebert,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_ERS2473723
ERS2473724,128,ERS2473724,Daphnia magna,d9,ebert,ebert_ERS2473724,Daphnia magna,Daphnia magna,ebert,Daphnia,Daphnia magnaebert,animal,extra,ebertDaphnia magna,,Daphnia magnaebert,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_ERS2473724
G10m,129,G10m,G10m,G10m,LM,LM_G10m,water,NA,LM,,waterLMC,water,extra,LMwater,LMCopepod,waterLM,water,water,env,water_env,238,R1.fastq,LM-238,water_G10m
GCop,130,GCop,GCop,GCop,LM,LM_GCop,Eudiaptomus_padanus,Eudiaptomus_padanus,LM,,CopepodLM,animal,extra,LMCopepod,LMCopepod,CopepodLM,crustacean,cop,env,crustacean_env,244,R1.fastq,LM-Dap-244,Copepod_GCop
GDaph,131,GDaph,GDaph,GDaph,LM,LM_GDaph,Daphnia galeata,Daphnia sp.,LM,Daphnia,Daphnia galeataLM,animal,extra,LMDaphnia galeata,LMDaphnia,DaphniaLM,crustacean,dap,env,crustacean_env,,,,Daphnia galeata_GDaph
P10m,132,P10m,P10m,P10m,LM,LM_P10m,water,NA,LM,,waterLMC,water,extra,LMwater,LMCopepod,waterLM,water,water,env,water_env,240,R1.fastq,LM-Cop-240,water_P10m
PCop,133,PCop,PCop,PCop,LM,LM_PCop,Eudiaptomus_padanus,Eudiaptomus_padanus,LM,,CopepodLM,animal,extra,LMCopepod,LMCopepod,CopepodLM,crustacean,cop,env,crustacean_env,246,R1.fastq,LM-Dap-246,Copepod_PCop
PDaph,134,PDaph,PDaph,PDaph,LM,LM_PDaph,Daphnia galeata,Daphnia sp.,LM,Daphnia,Daphnia galeataLM,animal,extra,LMDaphnia galeata,LMDaphnia,DaphniaLM,crustacean,dap,env,crustacean_env,,,,Daphnia galeata_PDaph
SRR4115579,135,SRR4115579,Daphnia magna,SRR4115579,decaee,decaee_SRS2578392,Daphnia magna,Daphnia magna,decaeste,Daphnia,Daphnia magnadecaeste,animal,extra,decaesteDaphnia magna,,Daphnia magnadecaeste,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_SRR4115579
SRR4115602,136,SRR4115602,Daphnia magna,SRR4115602,decaee,decaee_SRS2578393,Daphnia magna,Daphnia magna,decaeste,Daphnia,Daphnia magnadecaeste,animal,extra,decaesteDaphnia magna,,Daphnia magnadecaeste,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_SRR4115602
SRS2578392,137,SRS2578392,Daphnia magna,SRS2578392,decaee,decaee_SRS2578394,Daphnia magna,Daphnia magna,decaeste,Daphnia,Daphnia magnadecaeste,animal,extra,decaesteDaphnia magna,,Daphnia magnadecaeste,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_SRS2578392
SRS2578393,138,SRS2578393,Daphnia magna,SRS2578393,decaee,decaee_SRS2578393,Daphnia magna,Daphnia magna,decaeste,Daphnia,Daphnia magnadecaeste,animal,extra,decaesteDaphnia magna,,Daphnia magnadecaeste,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_SRS2578393
SRS2578394,139,SRS2578394,Daphnia magna,SRS2578394,decaee,decaee_SRS2578394,Daphnia magna,Daphnia magna,decaeste,Daphnia,Daphnia magnadecaeste,animal,extra,decaesteDaphnia magna,,Daphnia magnadecaeste,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_SRS2578394
SRS2578396,140,SRS2578396,Daphnia magna,SRS2578396,decaee,decaee_SRS2578396,Daphnia magna,Daphnia magna,decaeste,Daphnia,Daphnia magnadecaeste,animal,extra,decaesteDaphnia magna,,Daphnia magnadecaeste,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_SRS2578396
SRS2578398,141,SRS2578398,Daphnia magna,SRS2578398,decaee,decaee_SRS2578398,Daphnia magna,Daphnia magna,decaeste,Daphnia,Daphnia magnadecaeste,animal,extra,decaesteDaphnia magna,,Daphnia magnadecaeste,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_SRS2578398
SRS2578399,142,SRS2578399,Daphnia magna,SRS2578399,decaee,decaee_SRS2578399,Daphnia magna,Daphnia magna,decaeste,Daphnia,Daphnia magnadecaeste,animal,extra,decaesteDaphnia magna,,Daphnia magnadecaeste,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_SRS2578399
W10m,143,W10m,W10m,W10m,LM,LM_W10m,water,NA,LM,,waterLMD,water,extra,LMwater,LMDaphnia,waterLM,water,water,env,water_env,236,R1.fastq,LM-236,water_W10m
WCop,144,WCop,WCop,WCop,LM,LM_WCop,Eudiaptomus_padanus,Eudiaptomus_padanus,LM,,CopepodLM,animal,extra,LMCopepod,LMCopepod,CopepodLM,crustacean,cop,env,crustacean_env,242,R1.fastq,LM-Cop-242,Copepod_WCop
WDaph,145,WDaph,WDaph,WDaph,LM,LM_WDaph,Daphnia galeata,Daphnia sp.,LM,Daphnia,Daphnia galeataLM,animal,extra,LMDaphnia galeata,LMDaphnia,DaphniaLM,crustacean,dap,env,crustacean_env,,,,Daphnia galeata_WDaph
postFAC1a,146,postFAC1a,Daphnia magna,postFAC1a,finn,finn_postFAC1a,Daphnia magna,Daphnia magna,Finnland,Daphnia,Daphnia magnaFinnland,animal,extra,FinnlandDaphnia magna,,Daphnia magnaebert,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_postFAC1a
postFAC1b,147,postFAC1b,Daphnia magna,postFAC1b,finn,finn_postFAC1b,Daphnia magna,Daphnia magna,Finnland,Daphnia,Daphnia magnaFinnland,animal,extra,FinnlandDaphnia magna,,Daphnia magnaebert,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_postFAC1b
postFAC1c,148,postFAC1c,Daphnia magna,postFAC1c,finn,finn_postFAC1c,Daphnia magna,Daphnia magna,Finnland,Daphnia,Daphnia magnaFinnland,animal,extra,FinnlandDaphnia magna,,Daphnia magnaebert,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_postFAC1c
postFAC2a,149,postFAC2a,Daphnia magna,postFAC2a,finn,finn_postFAC2a,Daphnia magna,Daphnia magna,Finnland,Daphnia,Daphnia magnaFinnland,animal,extra,FinnlandDaphnia magna,,Daphnia magnaFinnland,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_postFAC2a
postFAC2b,150,postFAC2b,Daphnia magna,postFAC2b,finn,finn_postFAC2b,Daphnia magna,Daphnia magna,Finnland,Daphnia,Daphnia magnaFinnland,animal,extra,FinnlandDaphnia magna,,Daphnia magnaFinnland,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_postFAC2b
postFAC2c,151,postFAC2c,Daphnia magna,postFAC2c,finn,finn_postFAC2c,Daphnia magna,Daphnia magna,Finnland,Daphnia,Daphnia magnaFinnland,animal,extra,FinnlandDaphnia magna,,Daphnia magnaFinnland,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_postFAC2c
postFBC1a,152,postFBC1a,Daphnia magna,postFBC1a,finn,finn_postFBC1a,Daphnia magna,Daphnia magna,Finnland,Daphnia,Daphnia magnaFinnland,animal,extra,FinnlandDaphnia magna,,Daphnia magnaFinnland,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_postFBC1a
postFBC1b,153,postFBC1b,Daphnia magna,postFBC1b,finn,finn_postFBC1b,Daphnia magna,Daphnia magna,Finnland,Daphnia,Daphnia magnaFinnland,animal,extra,FinnlandDaphnia magna,,Daphnia magnaFinnland,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_postFBC1b
postFBC1c,154,postFBC1c,Daphnia magna,postFBC1c,finn,finn_postFBC1c,Daphnia magna,Daphnia magna,Finnland,Daphnia,Daphnia magnaFinnland,animal,extra,FinnlandDaphnia magna,,Daphnia magnaFinnland,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_postFBC1c
postFCC1a,155,postFCC1a,Daphnia magna,postFCC1a,finn,finn_postFCC1a,Daphnia magna,Daphnia magna,Finnland,Daphnia,Daphnia magnaFinnland,animal,extra,FinnlandDaphnia magna,,Daphnia magnaFinnland,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_postFCC1a
postFCC1b,156,postFCC1b,Daphnia magna,postFCC1b,finn,finn_postFCC1b,Daphnia magna,Daphnia magna,Finnland,Daphnia,Daphnia magnaFinnland,animal,extra,FinnlandDaphnia magna,,Daphnia magnaFinnland,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_postFCC1b
postFCC1c,157,postFCC1c,Daphnia magna,postFCC1c,finn,finn_postFCC1c,Daphnia magna,Daphnia magna,Finnland,Daphnia,Daphnia magnaFinnland,animal,extra,FinnlandDaphnia magna,,Daphnia magnaFinnland,crustacean,dap,cult,crustacean_cult,,,,Daphnia magna_postFCC1c
X158,158,158,ID792-D09-68-W-A994_S27_L001_R1_001.fastq,92_R1.fastq,A994-A994,A994-A994_X92,water,NA,A994,,waterA994copy,water,extra,A994Simo,A994Simo,waterA994,water,,env,water_env,175,R1.fastq,A994-A994_175,water_X92
X159,159,159,ID792-59_S72_L001_R1_001.fastq,67_R1.fastq,W_A984,W_A984_X67,water,NA,A984,,waterA984copy,water,rot,A984water,A984Lecane elsa,waterA984,water,,env,water_env,119,R1.fastq,W_A984_119,water_X67
